Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Tiger Cat Flowage,Sawyer,2435000,NO,58,,583104,CE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189247,09/23/1997,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,07/02/1998,7.25,NO,2.2,,,49,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8189247,07/23/1998,8,NO,2.4,,,47,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,08/08/1998,9,NO,2.7,,,45,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,08/30/1998,8.5,NO,2.6,,,46,,,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,09/20/1998,7.5,NO,2.3,,,48,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189247,10/04/1998,8.75,NO,2.7,,,46,,,NO CHANGE,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
06/21/1999,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/29/1999,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/08/1999,Craig Roesler,General Surface Water Monitoring 1999-2001
07/16/1999,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/29/1999,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/17/1999,FRITSCHE,Lake Baseline Monitoring- DNR (1970s-2006)
08/19/1999,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
04/18/2000,Craig Roesler,Lake Baseline Monitoring- DNR (1970s-2006)
04/24/2000,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/26/2000,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/17/2000,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/11/2000,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/28/2000,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/08/2000,Craig Roesler,Appraisal Monitoring 2000
08/08/2000,Craig Roesler,Lake Baseline Monitoring- DNR (1970s-2006)
08/12/2000,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/27/2000,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/30/2000,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/28/2001,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/14/2001,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/30/2001,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/15/2001,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/31/2001,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/16/2001,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
10/02/2001,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
10/11/2001,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/01/2002,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/27/2002,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/15/2002,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/30/2002,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/20/2002,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/04/2002,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/18/2002,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/07/2002,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/18/2002,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
10/01/2002,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
04/29/2003,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/17/2003,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/18/2003,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/11/2003,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/20/2003,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/05/2003,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/06/2003,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/21/2003,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
10/08/2003,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
04/16/2004,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/14/2004,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/31/2004,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/08/2004,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/22/2004,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/05/2004,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/30/2004,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/25/2004,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/31/2004,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/10/2004,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
10/10/2004,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/09/2005,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/31/2005,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/28/2005,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/11/2005,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/17/2005,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/27/2005,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/28/2005,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
10/25/2005,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/21/2006,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/03/2006,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/11/2006,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/30/2006,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/11/2006,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/23/2006,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/29/2006,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/21/2006,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/15/2006,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/26/2006,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
04/20/2007,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/09/2007,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/19/2007,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/30/2007,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/24/2007,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/07/2007,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/23/2007,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/31/2007,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/26/2007,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/08/2007,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/16/2007,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
10/03/2007,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/19/2008,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/07/2008,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/23/2008,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/09/2008,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/21/2008,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/02/2008,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/18/2008,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/21/2008,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
10/04/2008,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
04/28/2009,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/08/2009,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/02/2009,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/29/2009,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/07/2009,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/27/2009,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/27/2009,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/31/2009,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/30/2009,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
04/20/2010,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
04/26/2010,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/19/2010,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/25/2010,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/05/2010,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/29/2010,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/06/2010,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/24/2010,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/17/2010,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/05/2010,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/17/2010,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/04/2011,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/19/2011,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/08/2011,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/02/2011,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/16/2011,Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/25/2011,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/09/2011,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/23/2011,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/08/2011,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
10/03/2011,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
04/14/2012,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/09/2012,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/25/2012,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/07/2012,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/26/2012,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/05/2012,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/30/2012,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/14/2012,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/26/2012,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/14/2012,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/21/2013,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/12/2013,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/24/2013,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/10/2013,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/29/2013,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/10/2013,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/26/2013,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/02/2013,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/11/2013,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/18/2014,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/31/2014,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/08/2014,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/29/2014,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/06/2014,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/21/2014,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/14/2014,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/26/2014,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/08/2014,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/08/2014,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/25/2014,Ruth Ann and Wayne Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/20/2015,Jean Purtell,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/09/2015,Jean Purtell,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/20/2015,Gib Purtell,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/17/2015,Jean Purtell,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/23/2015,Jean Purtell,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/15/2016,Gib Purtell,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/21/2016,Ruth Ann Vyncke- Jean Purtell,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/15/2016,Gib Purtell,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/15/2016,Ruth Ann Vyncke- Jean Purtell,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/17/2016,Ruth Ann Vyncke- Jean Purtell,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/21/2016,Ruth Ann Vyncke- Jean Purtell,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/12/2017,Data Collectors,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/31/2017,Gib Purtell,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/21/2017,Gib Purtell,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/12/2017,Gib Purtell,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/22/2017,Gib Purtell,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/15/2017,Gib Purtell,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
